./data/original/LC-QuAD-data/train-data.json	'Which political party got elected in First Legislative Assembly of Uttar Pradesh ?' is a duplicate; found in paths: 	         ./data/original/LC-QuAD-data/train-data.json and 	        ./data/original/LC-QuAD-data/train-data.json	Instance found in newer file ./data/original/LC-QuAD-data/train-data.json will be kept.		

./data/original/LC-QuAD-data/train-data.json	'Who is the author of Karakuri Dji Ultimo ?' is a duplicate; found in paths: 	         ./data/original/LC-QuAD-data/train-data.json and 	        ./data/original/LC-QuAD-data/train-data.json	Instance found in newer file ./data/original/LC-QuAD-data/train-data.json will be kept.		

./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml	'What is the official website of Tom Hanks?' is a duplicate; found in paths: 	         ./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml will be kept.		

./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml	'Give me the websites of companies with more than 500000 employees.' is a duplicate; found in paths: 	         ./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml will be kept.		

./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml	'How many films did Leonardo DiCaprio star in?' is a duplicate; found in paths: 	         ./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml will be kept.		

./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml	'Is Natalie Portman an actress?' is a duplicate; found in paths: 	         ./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml will be kept.		

./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml	'Is there a video game called Battle Chess?' is a duplicate; found in paths: 	         ./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which river does the Brooklyn Bridge cross?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Give me the websites of companies with more than 500000 employees.' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'In which country does the Nile start?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which states of Germany are governed by the Social Democratic Party?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'How tall is Claudia Schiffer?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which television shows were created by Walt Disney?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'What is the highest place of Karakoram?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Give me all cities in New Jersey with more than 100000 inhabitants.' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which actors were born in Germany?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Give me all actors starring in Batman Begins.' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which mountain is the highest after the Annapurna?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Who designed the Brooklyn Bridge?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which countries have more than two official languages?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Who created Goofy?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Give me all soccer clubs in Spain.' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Who wrote the book The pillars of the Earth?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Who is the mayor of New York City?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which organizations were founded in 1950?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which presidents were born in 1945?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Who is the daughter of Bill Clinton married to?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Through which countries does the Yenisei river flow?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which museum exhibits The Scream by Munch?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which capitals in Europe were host cities of the summer olympic games?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which classis does the Millepede belong to?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Is Christian Bale starring in Batman Begins?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'In which programming language is GIMP written?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'In which country is the Limerick Lake?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which monarchs of the United Kingdom were married to a German?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Who produced films starring Natalie Portman?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'In which films did Julia Roberts as well as Richard Gere play?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'How many films did Leonardo DiCaprio star in?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Give me all school types.' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Where did Abraham Lincoln die?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'How many monarchical countries are there in Europe?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Who produced the most films?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Is there a video game called Battle Chess?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train-CDATA.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which mountains are higher than the Nanga Parbat?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

